iter	Logloss
0	0.6813630936
1	0.6686467775
2	0.6539526398
3	0.6433903775
4	0.6337244846
5	0.6228085662
6	0.6117506602
7	0.6019844455
8	0.5939839462
9	0.5846327645
10	0.575899747
11	0.5689143867
12	0.5612920911
13	0.554141173
14	0.5486704382
15	0.5429823632
16	0.5369778589
17	0.5318654547
18	0.5267395083
19	0.5218575873
20	0.5169535887
21	0.5126953738
22	0.5088458974
23	0.5049981235
24	0.501319705
25	0.4982596775
26	0.4950076899
27	0.4909775254
28	0.4881425075
29	0.485447712
30	0.4823715426
31	0.4797240724
32	0.477783811
33	0.475665779
34	0.4730799159
35	0.4708997863
36	0.4687851849
37	0.46624096
38	0.4642093602
39	0.4626698774
40	0.4607155284
41	0.4594137509
42	0.4578601692
43	0.456125299
44	0.4544369428
45	0.4530443365
46	0.4518387112
47	0.4503642331
48	0.4491485428
49	0.4479631688
50	0.4463910507
51	0.4449671323
52	0.4438502298
53	0.4427563231
54	0.4414396692
55	0.4407515472
56	0.4396470633
57	0.4383175583
58	0.4373365331
59	0.4362754352
60	0.435430112
61	0.4346508895
62	0.4340770546
63	0.4334466976
64	0.4329332068
65	0.4322002438
66	0.4314527248
67	0.4305880726
68	0.4301063567
69	0.4294968118
70	0.4286644974
71	0.4278211705
72	0.4272336734
73	0.4269475046
74	0.4262750927
75	0.4256005867
76	0.4249582917
77	0.4243240275
78	0.423716993
79	0.4229423872
80	0.4222339451
81	0.4216815119
82	0.4211742737
83	0.4207532179
84	0.4204736837
85	0.4201629899
86	0.419723965
87	0.4191469749
88	0.4186298024
89	0.4183051736
90	0.4180335205
91	0.417640021
92	0.4174838096
93	0.417181562
94	0.4167971363
95	0.4164933578
96	0.4160239262
97	0.4154951024
98	0.4152089907
99	0.4148184438
100	0.4145578503
101	0.4142692905
102	0.4137916622
103	0.4134245152
104	0.4132770578
105	0.4128831152
106	0.4126444578
107	0.4124848694
108	0.412201985
109	0.41188448
110	0.4118214468
111	0.4114143963
112	0.4111865782
113	0.4110625399
114	0.4107682552
115	0.4104629972
116	0.4103182827
117	0.4100908508
118	0.4099307575
119	0.4097913366
120	0.4096141265
121	0.4093511906
122	0.4091451952
123	0.4090343565
124	0.4088116193
125	0.4086839315
126	0.4086115316
127	0.4084506691
128	0.4082030644
129	0.4080405835
130	0.4077718833
131	0.4075040198
132	0.4072645001
133	0.4070933397
134	0.4069094862
135	0.4066624291
136	0.4065675666
137	0.4064672423
138	0.4062775203
139	0.4061496731
140	0.4059753137
141	0.4057720065
142	0.4054614745
143	0.4052949351
144	0.4050317173
145	0.4050025791
146	0.4049085627
147	0.4047712018
148	0.4046434573
149	0.4045479341
150	0.4044907592
151	0.4044587631
152	0.4043413146
153	0.4040701522
154	0.4040466517
155	0.4039291961
156	0.4038638113
157	0.4038378019
158	0.4037755566
159	0.4037531006
160	0.4037240991
161	0.4034004893
162	0.4033648144
163	0.4033334306
164	0.4032303917
165	0.4032009168
166	0.4031330787
167	0.4030450775
168	0.4030145627
169	0.402924886
170	0.4029058133
171	0.4028452912
172	0.4027503812
173	0.4026842106
174	0.4023307752
175	0.4022988429
176	0.4022682007
177	0.4021232613
178	0.4020621413
179	0.4020317132
180	0.4018773759
181	0.4016980376
182	0.4016668317
183	0.4016377491
184	0.4015057489
185	0.4014739134
186	0.4014444223
187	0.4014257832
188	0.4014051508
189	0.4013751368
190	0.4012862442
191	0.4012675216
192	0.4012431193
193	0.4011462399
194	0.4010778352
195	0.4010637063
196	0.4009896485
197	0.4009073522
198	0.4008843531
199	0.4008580009
200	0.4007532925
201	0.400626447
202	0.4006042134
203	0.4005747431
204	0.4005398128
205	0.4005111228
206	0.4004842525
207	0.400194264
208	0.4001702528
209	0.4001361458
210	0.4001044223
211	0.4000762098
212	0.4000489018
213	0.4000327803
214	0.4000191725
215	0.3999872766
216	0.3999526909
217	0.3999252595
218	0.3999004716
219	0.3998718248
220	0.3998337746
221	0.3997958989
222	0.3996648105
223	0.3996419725
224	0.3996016235
225	0.3995749277
226	0.3995507031
227	0.399520063
228	0.3994886872
229	0.3994605167
230	0.3994298775
231	0.3994097441
232	0.3992818769
233	0.3992657567
234	0.3992426134
235	0.3992184766
236	0.3991689782
237	0.3991492614
238	0.3990493735
239	0.3990324723
240	0.3990066443
241	0.3989802974
242	0.3989559863
243	0.3989287283
244	0.3988983949
245	0.3988715248
246	0.3988214012
247	0.3987963966
248	0.3987589231
249	0.3987342242
250	0.3987047552
251	0.3986789263
252	0.3986646272
253	0.3986477274
254	0.3986227671
255	0.3985897528
256	0.398570904
257	0.3985394404
258	0.3985133981
259	0.3984723135
260	0.3984474388
261	0.3983062018
262	0.3982812418
263	0.398258576
264	0.3982125956
265	0.3981863766
266	0.3981583421
267	0.3981472489
268	0.3981293019
269	0.398106075
270	0.398069162
271	0.3979855895
272	0.3979579441
273	0.3979428228
274	0.397922844
275	0.3978997894
276	0.3978655102
277	0.3978262911
278	0.3978009854
279	0.3977375366
280	0.3976418257
281	0.3976153476
282	0.3975980564
283	0.3975718819
284	0.3975474418
285	0.3975214405
286	0.3975014373
287	0.3974275907
288	0.3973990309
289	0.3973777094
290	0.3973548284
291	0.3973216325
292	0.397295204
293	0.3972641326
294	0.3972352493
295	0.3972099413
296	0.3971858455
297	0.3971360699
298	0.3970978897
299	0.3970015114
300	0.3969819236
301	0.3969521979
302	0.396935038
303	0.3968910771
304	0.3968526008
305	0.3968352675
306	0.3968067107
307	0.396787385
308	0.3967568326
309	0.3967391959
310	0.3967156636
311	0.3966973768
312	0.3966611033
313	0.3966256541
314	0.3966033468
315	0.3965731011
316	0.3965356152
317	0.3963816158
318	0.3963554857
319	0.3963289211
320	0.3963049999
321	0.3962786085
322	0.3962453263
323	0.3961679911
324	0.3961454998
325	0.3961229243
326	0.396093153
327	0.3960617351
328	0.3960273259
329	0.3959908486
330	0.3959543617
331	0.3959266283
332	0.3958898358
333	0.3958580723
334	0.3958434268
335	0.3958188147
336	0.395792674
337	0.3957568339
338	0.3957276248
339	0.3957002393
340	0.395661368
341	0.395421707
342	0.3953329679
343	0.3952982122
344	0.395271952
345	0.3952465143
346	0.3952088128
347	0.3951918262
348	0.3951689906
349	0.3951372673
350	0.3951071926
351	0.3950733047
352	0.3950408034
353	0.3948938782
354	0.3948656247
355	0.3948337725
356	0.3948037424
357	0.3947798656
358	0.3947494423
359	0.3947170721
360	0.3945872509
361	0.3945647198
362	0.3945378087
363	0.3945115473
364	0.3943026909
365	0.3942771228
366	0.3942508193
367	0.3942074849
368	0.3941755914
369	0.3941395366
370	0.3939936568
371	0.39396445
372	0.3939342467
373	0.3938920388
374	0.3938649975
375	0.3938309784
376	0.3937936659
377	0.3937681013
378	0.3937391091
379	0.3937029689
380	0.3936698177
381	0.3936298631
382	0.3935993129
383	0.393570755
384	0.3935431129
385	0.3935072306
386	0.3934748159
387	0.393443787
388	0.3934095967
389	0.39337883
390	0.3933524833
391	0.3933228445
392	0.393286963
393	0.3932574498
394	0.393228805
395	0.3931955237
396	0.3931638903
397	0.3931289612
398	0.3930903922
399	0.3930515655
400	0.3930147732
401	0.3929720882
402	0.3929300536
403	0.3928878456
404	0.3928464156
405	0.3928102744
406	0.3927611752
407	0.3927232561
408	0.392681047
409	0.3926441258
410	0.3926092845
411	0.3925772176
412	0.392547662
413	0.3925070995
414	0.3924629405
415	0.3924251537
416	0.3923880156
417	0.3923452424
418	0.3923131317
419	0.3922741751
420	0.3922310126
421	0.392190798
422	0.3921572145
423	0.3921126211
424	0.3920700675
425	0.3920242184
426	0.3919896803
427	0.3919473412
428	0.3919026622
429	0.3918604977
430	0.3918214529
431	0.3917728305
432	0.3917426283
433	0.391693617
434	0.3916525769
435	0.391613838
436	0.39157124
437	0.3915169841
438	0.391471396
439	0.3914332182
440	0.3913852891
441	0.3913501012
442	0.3913166911
443	0.3912739631
444	0.3912344841
445	0.3911937917
446	0.3911502827
447	0.3910979778
448	0.3910591066
449	0.3910062365
450	0.3909651997
451	0.3909135872
452	0.3908682157
453	0.39082475
454	0.3907816743
455	0.3907401175
456	0.3907007709
457	0.3906573062
458	0.3906177847
459	0.390575489
460	0.3905313733
461	0.3904854809
462	0.3904370761
463	0.3903918337
464	0.3903487581
465	0.3903012623
466	0.3902619143
467	0.3902136395
468	0.3901715162
469	0.3901192114
470	0.390070719
471	0.3900293776
472	0.3899809719
473	0.3899347329
474	0.3898883648
475	0.3898408691
476	0.3897919001
477	0.3897458799
478	0.3896901941
479	0.389641356
480	0.3895938603
481	0.3895472313
482	0.3895032899
483	0.3894534552
484	0.3894047461
485	0.3893614127
486	0.3893155637
487	0.3892664222
488	0.3892171499
489	0.3891668385
490	0.3891166561
491	0.3890716748
492	0.3890227057
493	0.388971051
494	0.388925852
495	0.3888786607
496	0.388832726
497	0.3887838869
498	0.3887352222
499	0.3886882033
500	0.3886354652
501	0.3885858028
502	0.3885402148
503	0.3884911601
504	0.3884390711
505	0.3883922698
506	0.3883430417
507	0.3882936837
508	0.3882448871
509	0.3881931024
510	0.3881473411
511	0.388097723
512	0.3880505317
513	0.3880048137
514	0.3879545448
515	0.3879069201
516	0.3877149055
517	0.3876705751
518	0.3876199595
519	0.3875712949
520	0.3875202902
521	0.3874710612
522	0.3874237833
523	0.3873771553
524	0.3873300073
525	0.3872792626
526	0.3872322004
527	0.3871827123
528	0.3871355644
529	0.3870878106
530	0.3870380627
531	0.3869901347
532	0.3867856211
533	0.3867378231
534	0.3866897219
535	0.3866442639
536	0.3865957293
537	0.386549318
538	0.3865005234
539	0.3864543288
540	0.3864089565
541	0.3863625462
542	0.3863161782
543	0.386271327
544	0.3862237457
545	0.3861780278
546	0.3861307065
547	0.3860844252
548	0.3860383606
549	0.385993336
550	0.3859475747
551	0.3859009467
552	0.3858560965
553	0.3858102918
554	0.3857637496
555	0.3857172083
556	0.3856724004
557	0.3856266391
558	0.3855804454
559	0.3854035084
560	0.3853578762
561	0.3853135449
562	0.3852688679
563	0.3852232367
564	0.3851780387
565	0.3851326241
566	0.3850875562
567	0.3850433116
568	0.3849992837
569	0.3849550391
570	0.3849114011
571	0.3848672441
572	0.3848221762
573	0.3847784083
574	0.3847335994
575	0.3846903081
576	0.3843939414
577	0.3843503893
578	0.384306188
579	0.3842624644
580	0.3842186964
581	0.3841758819
582	0.3841322882
583	0.384088997
584	0.3838807896
585	0.3835084091
586	0.3834648146
587	0.38342174
588	0.3833793164
589	0.3833362419
590	0.3832930383
591	0.3832501361
592	0.3832069749
593	0.3831641613
594	0.3831218668
595	0.3830797465
596	0.3830376253
597	0.3829955907
598	0.3829531238
599	0.3829112192
600	0.3828693137
601	0.3828278001
602	0.3827861556
603	0.382744511
604	0.3827025641
605	0.3826609628
606	0.3826193616
607	0.3825778479
608	0.3825367224
609	0.3824949045
610	0.3824539976
611	0.3824123097
612	0.3823715752
613	0.3823302772
614	0.3822892403
615	0.382247639
616	0.3822065569
617	0.3821659532
618	0.3821253486
619	0.3820844841
620	0.3820437495
621	0.3820028859
622	0.3819623246
623	0.38192133
624	0.3818811145
625	0.3818409008
626	0.3818005129
627	0.3817600384
628	0.3817199971
629	0.3816799125
630	0.3816401756
631	0.3815997433
632	0.3815595721
633	0.3813613348
634	0.3813214679
635	0.3812812533
636	0.3812411687
637	0.3812014298
638	0.3811616929
639	0.3811219117
640	0.3810821304
641	0.3810425658
642	0.3810030021
643	0.380963611
644	0.3809243943
645	0.3808850463
646	0.3808456117
647	0.3808065238
648	0.3807672192
649	0.380728088
650	0.38068874
651	0.3806496521
652	0.3806105218
653	0.3805714329
654	0.380532215
655	0.3804933437
656	0.3804542558
657	0.3804156445
658	0.3803766008
659	0.380337902
660	0.3802989441
661	0.3802603328
662	0.3802217648
663	0.3801830236
664	0.3801444556
665	0.3801059752
666	0.380067493
667	0.3797672557
668	0.3797287744
669	0.3796904664
670	0.3796519409
671	0.3796136342
672	0.3795755429
673	0.3795370616
674	0.3794989282
675	0.3794607936
676	0.3794227456
677	0.3793843943
678	0.3793465206
679	0.3793083417
680	0.3792703804
681	0.3792327658
682	0.378865632
683	0.3788277998
684	0.3787897952
685	0.3787523105
686	0.3787142626
687	0.3786763892
688	0.3786387313
689	0.3786009867
690	0.3785633287
691	0.3785257574
692	0.3784884462
693	0.3784510482
694	0.3781864669
695	0.3781490268
696	0.3778181632
697	0.3777804618
698	0.3777430196
699	0.377705665
700	0.3776683105
701	0.3776310437
702	0.3775937334
703	0.3775564221
704	0.3775194141
705	0.3774821019
706	0.377444964
707	0.3774081293
708	0.3773708614
709	0.3773338968
710	0.3772970188
711	0.3772600966
712	0.3772230886
713	0.3771862552
714	0.3771495072
715	0.3771128026
716	0.377076098
717	0.3770391777
718	0.3770027775
719	0.376966202
720	0.3769295841
721	0.376893054
722	0.3768564794
723	0.3768197314
724	0.3767833313
725	0.3767468433
726	0.3767105287
727	0.376674083
728	0.3766374651
729	0.3766012816
730	0.3765650982
731	0.3765290448
732	0.3764929035
733	0.3764566755
734	0.3764205332
735	0.3763844776
736	0.376348293
737	0.3763123262
738	0.3762763149
739	0.376058925
740	0.3760227837
741	0.375986817
742	0.3759509357
743	0.3759150534
744	0.3758789121
745	0.3758432042
746	0.3758071062
747	0.3757715295
748	0.3757359094
749	0.3756999414
750	0.3756644501
751	0.3756286112
752	0.3755929032
753	0.3755575419
754	0.3755219206
755	0.3754864738
756	0.3754507659
757	0.3754154036
758	0.3753799568
759	0.3753445968
760	0.37530928
761	0.3752738754
762	0.375238384
763	0.3752033285
764	0.3751679238
765	0.3751326937
766	0.375097679
767	0.3750622301
768	0.3750274346
769	0.3749920299
770	0.3746460931
771	0.3746109942
772	0.3745759353
773	0.374540704
774	0.3745054727
775	0.3744705025
776	0.3744359236
777	0.3744009969
778	0.3743658955
779	0.3743309232
780	0.3742961254
781	0.3742611108
782	0.3742263128
783	0.3741913414
784	0.3741566734
785	0.3741220066
786	0.3740872512
787	0.3740523665
788	0.3740177418
789	0.3739830305
790	0.3739483624
791	0.3739139092
792	0.3736772539
793	0.3736427158
794	0.3736080044
795	0.37357351
796	0.3735390156
797	0.3735046509
798	0.3734701995
799	0.3734357906
800	0.3734015558
801	0.3733671924
802	0.3733329567
803	0.3732988077
804	0.3732646176
805	0.3732303396
806	0.3731961482
807	0.3731620005
808	0.3731278982
809	0.3730938792
810	0.3730596878
811	0.3730254955
812	0.3729916508
813	0.3729575894
814	0.3729237893
815	0.3728899006
816	0.3728561025
817	0.3728221702
818	0.3727882812
819	0.3727543932
820	0.372720723
821	0.3726868773
822	0.3726529905
823	0.3724038508
824	0.3723700484
825	0.3723363337
826	0.3723025313
827	0.372268729
828	0.372235231
829	0.3722014729
830	0.372167843
831	0.3721342582
832	0.3721006747
833	0.3720671336
834	0.3720338547
835	0.3720000532
836	0.3719666843
837	0.3716925258
838	0.3716589835
839	0.37162553
840	0.371591901
841	0.3715587065
842	0.3715250784
843	0.3714918404
844	0.3714583838
845	0.3714251457
846	0.3713916467
847	0.371358322
848	0.3713251718
849	0.3712920207
850	0.3712589983
851	0.3712257181
852	0.3711926091
853	0.3711592411
854	0.3711261776
855	0.3710931131
856	0.3710601774
857	0.3710272464
858	0.3708552867
859	0.370822351
860	0.370789243
861	0.3707562216
862	0.3707232416
863	0.3706901769
864	0.3706573288
865	0.3706243932
866	0.3705912409
867	0.3705584361
868	0.3705255005
869	0.3704927403
870	0.3704598056
871	0.3704271299
872	0.3703945455
873	0.370361742
874	0.3703291109
875	0.3702965241
876	0.3702638505
877	0.3702310006
878	0.3701985883
879	0.3701660881
880	0.3701333257
881	0.3701009989
882	0.3700683232
883	0.3700357351
884	0.3700028861
885	0.3699704271
886	0.3699380557
887	0.36990538
888	0.3698728777
889	0.3698404629
890	0.3698079173
891	0.3697755025
892	0.3697431293
893	0.3697107145
894	0.369678561
895	0.3696461454
896	0.3696139897
897	0.3695814016
898	0.3695493338
899	0.3695168324
900	0.3694846777
901	0.3694526966
902	0.3694202376
903	0.3693880829
904	0.3693560572
905	0.3693238158
906	0.3692917459
907	0.3692596345
908	0.3692272631
909	0.3691953686
910	0.3691633439
911	0.3691316683
912	0.369099425
913	0.3690674436
914	0.3690352889
915	0.3690034811
916	0.3689715876
917	0.3689398229
918	0.3689081451
919	0.3688761194
920	0.3686295789
921	0.368597772
922	0.3685659243
923	0.3685342898
924	0.3685024841
925	0.3684708484
926	0.368439127
927	0.3684071446
928	0.3683755111
929	0.3683439623
930	0.3683123276
931	0.3682804318
932	0.3682485805
933	0.3682169459
934	0.3681853536
935	0.3681541537
936	0.3681223468
937	0.3680906687
938	0.3678180579
939	0.3677860756
940	0.3677545266
941	0.3677228052
942	0.3676913874
943	0.3676601884
944	0.367628857
945	0.367597178
946	0.3675656723
947	0.3675339933
948	0.3672773425
949	0.3672457523
950	0.3672144642
951	0.367183003
952	0.3671514973
953	0.3671203841
954	0.367088966
955	0.3670578513
956	0.3670266514
957	0.3669954078
958	0.3669640754
959	0.3669326998
960	0.3669012808
961	0.3668700794
962	0.3668388349
963	0.3668078514
964	0.3667765645
965	0.3667455779
966	0.3667143764
967	0.3666832619
968	0.3666521906
969	0.3666209872
970	0.3665899158
971	0.3665588868
972	0.3665276854
973	0.3664966997
974	0.3664655407
975	0.3664346005
976	0.3664036148
977	0.3663727601
978	0.3663420377
979	0.3663110966
980	0.3662801542
981	0.3662494731
982	0.366218575
983	0.3661878505
984	0.3661570837
985	0.3661260113
986	0.3660952857
987	0.3660646042
988	0.3660334885
989	0.3660028071
990	0.3659719939
991	0.3659411824
992	0.3659106744
993	0.3658799932
994	0.3658493118
995	0.3658185419
996	0.3657881638
997	0.3657575693
998	0.3657269325
999	0.3656963377
