iter	Passed	Remaining
0	149	149725
1	168	83991
2	184	61479
3	201	50264
4	220	43887
5	244	40496
6	266	37860
7	292	36265
8	318	35025
9	340	33675
10	362	32554
11	380	31323
12	399	30295
13	417	29411
14	436	28639
15	455	28001
16	473	27388
17	493	26914
18	513	26493
19	534	26167
20	551	25710
21	570	25341
22	588	24988
23	605	24622
24	622	24278
25	639	23956
26	656	23645
27	672	23361
28	691	23137
29	708	22901
30	725	22684
31	743	22505
32	761	22322
33	780	22163
34	797	21987
35	817	21885
36	832	21664
37	851	21550
38	869	21415
39	886	21270
40	904	21166
41	922	21032
42	939	20911
43	957	20807
44	975	20698
45	992	20581
46	1010	20488
47	1027	20383
48	1044	20275
49	1062	20186
50	1079	20083
51	1097	20016
52	1115	19928
53	1132	19836
54	1150	19765
55	1168	19690
56	1185	19618
57	1204	19564
58	1222	19505
59	1240	19435
60	1257	19361
61	1276	19314
62	1295	19264
63	1313	19207
64	1330	19136
65	1348	19076
66	1365	19009
67	1382	18942
68	1398	18874
69	1416	18812
70	1434	18768
71	1451	18708
72	1469	18663
73	1487	18614
74	1506	18576
75	1523	18526
76	1540	18467
77	1556	18402
78	1574	18357
79	1592	18309
80	1609	18257
81	1627	18220
82	1645	18174
83	1661	18122
84	1684	18138
85	1702	18093
86	1719	18045
87	1736	18001
88	1754	17960
89	1772	17921
90	1791	17893
91	1809	17857
92	1827	17826
93	1846	17798
94	1864	17758
95	1882	17726
96	1900	17694
97	1919	17664
98	1938	17641
99	1956	17612
100	1974	17571
101	1992	17542
102	2011	17518
103	2031	17502
104	2053	17499
105	2083	17574
106	2116	17667
107	2141	17688
108	2164	17689
109	2184	17677
110	2205	17662
111	2222	17622
112	2240	17584
113	2258	17553
114	2278	17532
115	2298	17513
116	2316	17483
117	2334	17449
118	2354	17427
119	2374	17409
120	2394	17392
121	2414	17374
122	2432	17345
123	2449	17308
124	2469	17283
125	2486	17247
126	2504	17215
127	2522	17187
128	2540	17151
129	2556	17111
130	2574	17077
131	2591	17040
132	2610	17014
133	2627	16979
134	2645	16953
135	2664	16925
136	2681	16893
137	2700	16865
138	2717	16830
139	2734	16796
140	2751	16764
141	2771	16745
142	2788	16714
143	2806	16682
144	2824	16654
145	2842	16624
146	2861	16605
147	2881	16586
148	2900	16564
149	2918	16540
150	2937	16514
151	2954	16484
152	2971	16452
153	2990	16425
154	3007	16397
155	3025	16366
156	3042	16335
157	3060	16307
158	3078	16280
159	3095	16251
160	3111	16216
161	3130	16192
162	3149	16172
163	3168	16152
164	3187	16128
165	3205	16102
166	3222	16075
167	3240	16049
168	3258	16022
169	3276	15996
170	3296	15982
171	3314	15954
172	3332	15929
173	3350	15904
174	3367	15873
175	3384	15843
176	3400	15810
177	3417	15782
178	3435	15758
179	3454	15735
180	3472	15713
181	3489	15684
182	3506	15654
183	3524	15629
184	3540	15598
185	3557	15568
186	3576	15547
187	3593	15522
188	3612	15500
189	3629	15474
190	3648	15455
191	3667	15435
192	3686	15413
193	3704	15389
194	3722	15368
195	3740	15344
196	3758	15321
197	3776	15298
198	3795	15276
199	3812	15248
200	3829	15224
201	3848	15202
202	3867	15184
203	3885	15160
204	3903	15136
205	3919	15106
206	3938	15086
207	3956	15065
208	3972	15036
209	3990	15011
210	4008	14988
211	4027	14969
212	4044	14945
213	4061	14918
214	4079	14894
215	4095	14864
216	4113	14841
217	4131	14820
218	4149	14798
219	4170	14785
220	4197	14796
221	4225	14809
222	4253	14820
223	4275	14811
224	4302	14819
225	4321	14799
226	4340	14780
227	4360	14762
228	4379	14746
229	4397	14722
230	4417	14704
231	4437	14688
232	4454	14663
233	4471	14638
234	4489	14613
235	4507	14591
236	4524	14567
237	4542	14543
238	4559	14519
239	4578	14497
240	4595	14473
241	4612	14447
242	4629	14423
243	4647	14399
244	4664	14374
245	4683	14353
246	4700	14330
247	4719	14309
248	4737	14287
249	4755	14266
250	4773	14245
251	4790	14219
252	4807	14195
253	4825	14173
254	4843	14151
255	4861	14129
256	4879	14107
257	4897	14084
258	4914	14061
259	4932	14039
260	4950	14016
261	4969	13997
262	4986	13974
263	5004	13950
264	5024	13937
265	5042	13914
266	5063	13899
267	5083	13885
268	5102	13865
269	5122	13849
270	5141	13831
271	5159	13809
272	5178	13790
273	5196	13769
274	5215	13750
275	5234	13731
276	5254	13714
277	5273	13695
278	5293	13678
279	5310	13656
280	5327	13632
281	5345	13611
282	5363	13588
283	5380	13565
284	5400	13548
285	5419	13529
286	5436	13506
287	5455	13486
288	5473	13465
289	5491	13445
290	5509	13424
291	5527	13403
292	5546	13382
293	5563	13360
294	5581	13339
295	5602	13324
296	5620	13304
297	5632	13267
298	5649	13244
299	5667	13223
300	5685	13203
301	5702	13180
302	5720	13158
303	5737	13134
304	5753	13111
305	5770	13086
306	5788	13067
307	5806	13045
308	5825	13026
309	5844	13008
310	5863	12989
311	5881	12968
312	5899	12949
313	5920	12933
314	5943	12924
315	5961	12904
316	5979	12882
317	5998	12865
318	6015	12842
319	6042	12839
320	6066	12832
321	6092	12828
322	6114	12816
323	6139	12810
324	6159	12793
325	6177	12772
326	6193	12747
327	6211	12726
328	6229	12704
329	6247	12683
330	6264	12661
331	6282	12641
332	6301	12621
333	6320	12602
334	6338	12582
335	6356	12562
336	6374	12540
337	6392	12521
338	6410	12499
339	6427	12477
340	6446	12457
341	6463	12436
342	6482	12416
343	6500	12396
344	6517	12374
345	6535	12352
346	6552	12330
347	6570	12310
348	6589	12292
349	6607	12271
350	6626	12252
351	6645	12233
352	6664	12215
353	6683	12196
354	6702	12177
355	6719	12155
356	6737	12134
357	6755	12114
358	6772	12092
359	6790	12071
360	6806	12048
361	6824	12028
362	6842	12007
363	6859	11985
364	6877	11964
365	6894	11943
366	6911	11921
367	6930	11902
368	6948	11881
369	6965	11859
370	6983	11840
371	7000	11818
372	7018	11798
373	7037	11778
374	7054	11757
375	7070	11734
376	7088	11713
377	7105	11691
378	7123	11672
379	7141	11652
380	7159	11631
381	7177	11612
382	7195	11591
383	7212	11570
384	7231	11550
385	7247	11529
386	7264	11507
387	7281	11486
388	7300	11466
389	7316	11444
390	7333	11422
391	7351	11402
392	7368	11380
393	7385	11358
394	7401	11337
395	7419	11316
396	7437	11296
397	7455	11277
398	7473	11256
399	7490	11235
400	7507	11214
401	7525	11194
402	7541	11171
403	7559	11151
404	7576	11130
405	7595	11112
406	7613	11092
407	7630	11071
408	7647	11050
409	7665	11030
410	7682	11009
411	7699	10988
412	7717	10968
413	7735	10949
414	7753	10929
415	7770	10908
416	7787	10887
417	7805	10867
418	7823	10848
419	7841	10828
420	7860	10810
421	7877	10790
422	7895	10769
423	7911	10747
424	7929	10728
425	7948	10709
426	7964	10688
427	7981	10667
428	8000	10648
429	8017	10628
430	8035	10608
431	8054	10589
432	8071	10569
433	8089	10549
434	8107	10530
435	8126	10512
436	8155	10506
437	8181	10497
438	8204	10484
439	8227	10470
440	8253	10461
441	8273	10445
442	8291	10425
443	8309	10405
444	8326	10385
445	8344	10364
446	8365	10349
447	8386	10332
448	8406	10315
449	8423	10295
450	8443	10278
451	8461	10259
452	8479	10238
453	8497	10219
454	8514	10198
455	8532	10178
456	8550	10159
457	8567	10139
458	8584	10118
459	8602	10098
460	8620	10079
461	8638	10059
462	8656	10039
463	8673	10019
464	8690	9999
465	8708	9979
466	8726	9959
467	8743	9939
468	8760	9918
469	8779	9900
470	8797	9880
471	8817	9863
472	8836	9845
473	8855	9826
474	8874	9808
475	8893	9790
476	8913	9772
477	8931	9753
478	8949	9733
479	8967	9714
480	8985	9694
481	9001	9674
482	9021	9656
483	9039	9637
484	9057	9617
485	9075	9598
486	9094	9579
487	9111	9559
488	9129	9540
489	9147	9521
490	9166	9502
491	9185	9484
492	9207	9469
493	9226	9450
494	9246	9433
495	9266	9416
496	9285	9397
497	9303	9378
498	9321	9358
499	9341	9341
500	9360	9322
501	9380	9305
502	9399	9287
503	9422	9272
504	9443	9256
505	9462	9238
506	9481	9219
507	9499	9200
508	9516	9179
509	9533	9159
510	9563	9151
511	9585	9135
512	9608	9121
513	9629	9104
514	9649	9087
515	9669	9069
516	9691	9054
517	9714	9039
518	9734	9021
519	9750	9000
520	9768	8980
521	9785	8960
522	9804	8942
523	9822	8922
524	9839	8902
525	9857	8882
526	9874	8862
527	9892	8843
528	9909	8822
529	9927	8803
530	9946	8785
531	9963	8764
532	9991	8754
533	10017	8741
534	10037	8723
535	10060	8708
536	10085	8695
537	10107	8679
538	10125	8660
539	10145	8642
540	10166	8625
541	10184	8605
542	10203	8587
543	10221	8567
544	10242	8550
545	10259	8531
546	10278	8511
547	10295	8491
548	10313	8472
549	10332	8454
550	10351	8435
551	10369	8415
552	10386	8395
553	10403	8375
554	10423	8357
555	10441	8338
556	10459	8318
557	10476	8298
558	10493	8278
559	10511	8258
560	10529	8239
561	10547	8219
562	10564	8200
563	10583	8181
564	10600	8161
565	10617	8141
566	10634	8121
567	10651	8101
568	10669	8081
569	10686	8061
570	10703	8041
571	10722	8022
572	10740	8003
573	10758	7984
574	10775	7964
575	10793	7945
576	10811	7925
577	10829	7906
578	10847	7887
579	10864	7867
580	10879	7846
581	10896	7826
582	10913	7806
583	10931	7786
584	10947	7766
585	10964	7746
586	10982	7727
587	10999	7706
588	11016	7687
589	11033	7667
590	11050	7647
591	11067	7627
592	11085	7608
593	11103	7589
594	11123	7571
595	11142	7552
596	11159	7533
597	11176	7513
598	11194	7493
599	11211	7474
600	11228	7454
601	11245	7434
602	11261	7414
603	11278	7394
604	11296	7375
605	11315	7356
606	11333	7338
607	11352	7319
608	11368	7299
609	11386	7280
610	11403	7260
611	11420	7240
612	11436	7220
613	11453	7200
614	11470	7180
615	11486	7160
616	11504	7141
617	11520	7121
618	11538	7102
619	11554	7082
620	11572	7062
621	11589	7042
622	11606	7023
623	11623	7004
624	11640	6984
625	11657	6964
626	11675	6945
627	11692	6926
628	11709	6906
629	11727	6887
630	11743	6867
631	11760	6847
632	11777	6828
633	11794	6809
634	11811	6789
635	11829	6770
636	11845	6750
637	11862	6730
638	11879	6711
639	11897	6692
640	11914	6672
641	11931	6653
642	11948	6634
643	11966	6615
644	11984	6596
645	12001	6576
646	12018	6557
647	12036	6538
648	12053	6519
649	12073	6501
650	12100	6486
651	12123	6470
